keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2018,44,66.59609822116443,2018-10-29,0.0,1.0
bol u grlu,2018,45,77.33740438586835,2018-11-05,0.0,1.0
bol u grlu,2018,46,73.04088191998679,2018-11-12,0.0,1.0
bol u grlu,2018,47,79.48566561880915,2018-11-19,0.0,1.0
bol u grlu,2018,48,85.93044931763151,2018-11-26,0.0,1.0
bol u grlu,2018,49,88.0787105505723,2018-12-03,0.0,1.0
bol u grlu,2018,50,85.93044931763151,2018-12-10,0.0,1.0
bol u grlu,2018,51,94.52349424939466,2018-12-17,0.0,1.0
bol u grlu,2018,52,128.89567397644726,2018-12-24,3.0,1.0
bol u grlu,2019,1,94.52349424939466,2018-12-31,11.0,2.0
bol u grlu,2019,2,85.93044931763151,2019-01-07,16.0,2.0
bol u grlu,2019,3,94.52349424939466,2019-01-14,42.0,2.0
bol u grlu,2019,4,105.2648004140986,2019-01-21,99.0,2.0
bol u grlu,2019,5,105.2648004140986,2019-01-28,273.0,4.0
bol u grlu,2019,6,94.52349424939466,2019-02-04,388.0,4.0
bol u grlu,2019,7,66.59609822116443,2019-02-11,309.0,4.0
bol u grlu,2019,8,64.44783698822363,2019-02-18,307.0,4.0
bol u grlu,2019,9,68.74435945410521,2019-02-25,138.0,3.0
bol u grlu,2019,10,73.04088191998679,2019-03-04,100.0,3.0
bol u grlu,2019,11,62.299575755282845,2019-03-11,50.0,3.0
bol u grlu,2019,12,60.151314522342055,2019-03-18,25.0,2.0
bol u grlu,2019,13,85.93044931763151,2019-03-25,40.0,2.0
bol u grlu,2019,14,58.00305328940127,2019-04-01,17.0,2.0
bol u grlu,2019,15,64.44783698822363,2019-04-08,14.0,2.0
bol u grlu,2019,16,77.33740438586835,2019-04-15,5.0,2.0
bol u grlu,2019,17,94.52349424939466,2019-04-22,9.0,2.0
bol u grlu,2019,18,51.5582695905789,2019-04-29,0.0,2.0
bol u grlu,2019,19,79.48566561880915,2019-05-06,0.0,2.0
bol u grlu,2019,20,79.48566561880915,2019-05-13,0.0,2.0
bol u grlu,2019,21,83.78218808469072,2019-05-20,0.0,1.0
bol u grlu,2019,22,81.63392685174993,2019-05-27,0.0,1.0
bol u grlu,2019,23,83.78218808469072,2019-06-03,0.0,1.0
bol u grlu,2019,24,55.85479205646048,2019-06-10,0.0,1.0
bol u grlu,2019,25,45.11348589175654,2019-06-17,0.0,1.0
